,Unnamed: 0.1,Unnamed: 0,query,answer,options,sum_supports
25,25,25,In which administrative territorial entity is the key center south tower located?,new york,"['buffalo', 'center', 'erie', 'erie county', 'fountain', 'new york', 'north', 'south']"," The Key Center North Tower and Key Center South Tower are high-rise buildings located in Buffalo, New York. The Key Center North Tower, standing at 275 feet (85 m) and 17 stories tall, is the eighth tallest building in Buffalo. It is connected to the Key Center South Tower, which is four stories shorter and encompasses 18,800 square feet of retail space within a two-story glass atrium. Both buildings feature distinctive pyramid tops trimmed with bright green neon lighting, which illuminates at night.

In the summer, a large fountain and reflecting pool are located in front of the towers, while in the winter, the area serves as a free outdoor ice rink for the public. Buffalo, the city where these buildings are located, is the second-most populous city in New York state, with a population of 258,703 residents. The metropolitan area has a population of 1.13 million. The Key Center at Fountain Plaza complex, which includes both towers, is a prominent landmark in Buffalo. "
27,27,27,How did Joe Don Looney meet his demise?,accident,"['accident', 'knockout']"," The National Football League (NFL) is a professional American football league with 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC). The NFL is one of the four major professional sports leagues in North America and the highest professional level of American football in the world. The NFL's 17-week regular season runs from the week after Labor Day to the week after Christmas, with each team playing 16 games and having one bye week. Following the conclusion of the regular season, six teams from each conference (four division winners and two wild card teams) advance to the playoffs, a single-elimination tournament culminating in the Super Bowl, played between the champions of the NFC and AFC.

John Don Looney was a professional American football end in the NFL, playing three seasons for the Philadelphia Eagles (1940) and the Pittsburgh Steelers (19411942). He was the first receiver in NFL history to have over 100 yards receiving in each of his first two games, a feat which was not equaled until the 2008 NFL season by another Eagles wide receiver, DeSean Jackson. At the time of his death, Looney was the second oldest living former NFL player. He was the father of NFL running back Joe Don Looney, who later died in a one-person motorcycle accident after his NFL career ended.

Joe Don Looney was an American football running back in the NFL for the New York Giants, Baltimore Colts, Detroit Lions, Washington Redskins, and the New Orleans Saints. He attended Admiral Farragut Academy in St. Petersburg, Florida and Paschal High School in Ft. Worth, Texas for high school. "
29,29,29,What was the occupation of Don Schick?,musician,"['band', 'bassist', 'book', 'carabinier', 'creator', 'designer', 'drummer', 'founder', 'guitarist', 'member', 'musician', 'official', 'page', 'singer', 'speaker', 'vocalist']"," The Chapman Stick, invented by Emmett Chapman, is a unique 8-string tapping instrument that combines elements from the original Stick and Ned Steinberger's designs. It can be played in both upright and horizontal positions, allowing for tapping, picking, slapping, or strumming. Don Schiff, a versatile musician, is one of the earliest and most prominent Chapman Stick players. He has used the instrument in various recording sessions and live performances, developing new techniques such as ""tapping while plucking"" and ""slide technique"" using a carabiner. Schiff also played the NS/Stick, a collaboration between Chapman and Steinberger, which incorporated design ideas from both the Chapman Stick and Steinberger's instruments. Schiff's contributions to the Chapman Stick and NS/Stick have helped popularize these innovative instruments in the music industry. "
31,31,31,What sport did the Louisiana IceGators play?,ice hockey,"['hockey', 'ice hockey']"," Professional ice hockey originated in the United States in 1904 and became prominent in Canada during the early 20th century. The sport has since expanded globally, with high-level professional hockey present in Germany, Russia, Sweden, the Czech Republic, Finland, and Switzerland. Other countries with professional hockey include Ukraine, the United Kingdom, Austria, Australia, and Japan.

The Louisiana IceGators, a team in the Southern Professional Hockey League (SPHL), began play in the 2009-10 season. The team, based in Lafayette, Louisiana, was originally founded in 1995 but folded in 2005. Local businessman Danny Smith revived the team, but in August 2010, he sold it to E.C. ""Chuck"" Anselmo, Jr., and E.C. ""Chuck"" Anselmo, III. The SPHL is a professional ice hockey league based in Huntersville, North Carolina, with teams primarily located in the southeastern United States, as well as Illinois and Indiana in the midwestern United States. "
32,32,32,What was the occupation of Ron Schock?,ice hockey player,"['accounting', 'canada', 'canadian football', 'entertainment', 'fashion', 'game', 'governor', 'ice hockey player', 'major', 'member']"," New York City, the most populous city in the United States, is a global powerhouse in commerce, finance, media, art, fashion, research, technology, education, and entertainment. Located at the southern tip of New York state, it is the center of the New York metropolitan area, one of the most populous urban agglomerations in the world. The city is also home to the United Nations and is considered the cultural and financial capital of the world.

The National Hockey League (NHL), a professional ice hockey league, is headquartered in New York City and is considered the premier professional ice hockey league in the world. The NHL consists of 31 member clubs, with 23 in the United States and 7 in Canada. The league's oldest trophy, the Stanley Cup, is awarded annually to the league playoff champion.

Ronald Lawrence Schock, a retired professional ice hockey player, played 20 regular season games and one playoff game in the NHL. He played with the Boston Bruins and Philadelphia Flyers and won the Stanley Cup in 1970 with the Boston Bruins. Schock's brother, Danny, also played briefly in the NHL.

Ontario, a province in east-central Canada, is the most populous province in Canada and the second-largest in total area. It is home to the nation's capital city, Ottawa, and the nation's most populous city, Toronto.

The major professional sports leagues in the United States and Canada are the highest professional competitions of team sports in the two countries. The four universally included leagues are Major League Baseball (MLB), the National Basketball Association (NBA), the National Football League (NFL), and the National Hockey League (NHL). Other prominent leagues include Major League Soccer (MLS) and the Canadian Football League (CFL). The Stanley Cup, originally commissioned in 1892, is the championship trophy awarded annually to the NHL playoff winner. "
33,33,33,What is Beerschoten classified as?,village,"['1', 'capital', 'constituent country', 'country of the kingdom of the netherlands', 'hill', 'island', 'january', 'municipality', 'part', 'province', 'seat', 'seat of government', 'three', 'town', 'village']"," Leersum, Maarn, Amerongen, Doorn, and Driebergen-Rijsenburg are towns and hamlets in the Utrecht province of the Netherlands. They are part of the municipality of Utrechtse Heuvelrug, which was formed on January 1, 2006, by merging the former municipalities. Leersum is located about 7 km east of Doorn and 9 km west of Veenendaal. Maarn is about 10 km east of Zeist. Amerongen is a village on the border of the Utrecht Hill Ridge, about 7 km southwest of Veenendaal. Doorn is a town with 10,052 inhabitants as of January 1, 2008. The Netherlands is a densely populated country in Western Europe with a population of over 17 million people. The country's capital is Amsterdam, and the seat of government and parliament is in The Hague. Holland is an informal term used to refer to the whole of the Netherlands. Beerschoten is a hamlet in the municipality of Utrechtse Heuvelrug, located between Zeist and Driebergen-Rijsenburg. The hamlet grew around the estate Beerschoten - Willinkshof. "
36,36,36,What is the ethnic group of Armenak Yekarian?,armenians,"['ancient egypt', 'arab', 'armenia', 'armenians', 'asia', 'british', 'bulgaria', 'europe', 'european', 'europeans', 'greece', 'greek', 'hashemite', 'latin', 'middle east', 'muslim', 'romania', 'russia', 'saudi arabia', 'tunisia', 'uganda']"," Abdul Hamid II was the last Sultan of the Ottoman Empire to maintain effective control over a declining state. His reign saw widespread violence against Armenians and Bulgarians, and he suspended the constitution and parliament in 1878, reinstating absolute rule. The Young Turk Revolution in 1908 restored constitutional rule, which Abdul Hamid II was removed from power. The document also mentions various geographical and historical contexts, including the Ottoman Empire, the Young Turk Revolution, the Armenian Revolutionary Federation, World War I, and the Balkan Peninsula. It also discusses the geographical locations of Lake Urmia, Cairo, Iran, the Arab world, Azerbaijan, the Red Sea, Europe, Asia, the Byzantine Empire, the Ottoman Empire, ancient Egypt, and the Balkan Peninsula. "
37,37,37,What was the main subject of the film 'Prom Night II' starring Mary Lou?,supernatural,"['actor', 'film', 'francis', 'mary', 'supernatural', 'television']"," Ricky Nelson (1940-1985) was an American actor, musician, and singer-songwriter. He starred in the television series ""The Adventures of Ozzie and Harriet"" (1952-1966) alongside his family and co-starred with John Wayne and Dean Martin in the western film ""Rio Bravo"" (1959). Nelson achieved significant success in music, with 53 songs reaching the Billboard Hot 100 between 1957 and 1973, including ""Poor Little Fool,"" the first #1 song on the newly created Hot 100 chart. He recorded 19 additional Top 10 hits and was inducted into the Rock and Roll Hall of Fame in 1987.

Gene Pitney (1940-2006) was an American singer-songwriter, musician, and sound engineer. He wrote the song ""Hello Mary Lou,"" which was first recorded by Johnny Duncan in 1960 and later by Ricky Nelson in 1961. The song became a hit and was featured in the 1987 film ""Hello Mary Lou: Prom Night II,"" which introduced the character of Mary Lou Maloney, a killer ghost who returned in the sequel ""Prom Night III: The Last Kiss"" (1989).

Both Ricky Nelson and Gene Pitney were influential figures in the music industry, with Nelson's success in both acting and music and Pitney's contributions as a songwriter and musician. Their careers spanned several decades and left a lasting impact on popular culture. "
38,38,38,In which location is the whistling fruit dove endemic?,kadavu island,"['australia', 'europe', 'french guiana', 'french polynesia', 'kadavu island', 'new caledonia', 'new zealand', 'pacific ocean']"," New Caledonia, a French collectivity in the Pacific, is part of Melanesia and lies east of Australia and New Caledonia. It includes Grande Terre, the Loyalty Islands, and other smaller islands. Vanuatu, a Pacific island nation, is located east of New Caledonia and north of Fiji. It is a volcanic archipelago with a population of over 270,000 people.

New Zealand, an island nation in the southwestern Pacific, comprises the North Island and the South Island, along with numerous smaller islands. It is situated east of Australia and south of New Caledonia, Fiji, and Tonga. New Zealand's capital is Wellington, and its largest city is Auckland.

Fiji, an island country in Melanesia, is located northeast of New Caledonia and southwest of New Zealand. It is an archipelago with a population of over 900,000 people. Tuvalu, a Polynesian island nation, is located midway between Hawaii and Australia. It comprises three reef islands and six true atolls, with a population of 10,640 people.

Tonga, a Polynesian sovereign state, is located northeast of Fiji and southwest of Tonga. It comprises 169 islands, with a population of over 103,000 people. The Kermadec Islands, part of New Zealand, are a subtropical island arc located northeast of New Zealand's North Island. They are uninhabited, except for the Raoul Island Station. "
40,40,40,What is the country of citizenship of Mattia Gavazzi?,italy,"['argentina', 'brazil', 'colombia', 'ecuador', 'france', 'italy', 'peru', 'switzerland', 'united kingdom']"," Aigle, a historic town in Switzerland, is the capital of the district of Aigle in the canton of Vaud. It is also the location of the Union Cycliste Internationale (UCI), the governing body for international cycling competitions. The Tour de San Luis, a road cycling race held in Argentina, is part of the UCI America Tour. The race features an individual time trial and six stages, and is rated 2.1 by the UCI.

Norepinephrine, also known as noradrenaline, is a hormone and neurotransmitter that functions in the brain and body. It is produced in the kidneys and affects various parts of the body. The UCI, based in Aigle, oversees international cycling events, including the Tour de San Luis.

Mattia Gavazzi, an Italian road cyclist, competed in the Tour de San Luis in 2013 after a suspension for cocaine use. Cocaine is a powerful stimulant that affects the brain's reward pathway, leading to addiction. It is made from the leaves of the coca plant, which are grown in South America. The illegal market for cocaine is estimated to be between 100 and 500 billion USD annually.

Cocaine use is a significant global issue, with between 14 and 21 million people using the drug each year. The highest usage rates are in North America, followed by Europe and South America. Cocaine use directly resulted in 4,300 deaths in 2013, up from 2,400 in 1990. The coca plant has been used by Peruvians for centuries, and cocaine was first isolated from its leaves in 1860. Since 1961, the international Single Convention on Narcotic Drugs has required countries to criminalize recreational cocaine use. "
43,43,43,In which location is Cinnamon Bay situated?,saint john,"['atlantic ocean', 'caribbean', 'caribbean sea', 'lesser antilles', 'saint john', 'saint thomas']"," Cinnamon Bay is a picturesque body of water and beach located on St. John Island, within the Virgin Islands National Park in the United States Virgin Islands. The park, established in 1956, covers approximately 60% of St. John Island, over 5,500 acres of adjacent ocean, and nearly all of Hassel Island. The Leeward Islands, a group of islands in the West Indies, are situated where the northeastern Caribbean Sea meets the western Atlantic Ocean. The Lesser Antilles, also known as the Caribbees, are a group of islands in the Caribbean Sea, forming a long, partly volcanic island arc between the Greater Antilles and the continent of South America. The Caribbean region consists of the Caribbean Sea, its islands, and the surrounding coasts. The United States Virgin Islands, officially the Virgin Islands of the United States, are a group of islands in the Caribbean that are an insular area of the United States. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles. "
45,45,45,What was the occupation of Carole-Marie Allard?,politician,"['bank', 'canada', 'founder', 'lawyer', 'major', 'minister', 'ministry', 'monarch', 'mountain', 'politician', 'united kingdom']"," The Meech Lake Accord, negotiated in 1987 by Prime Minister Brian Mulroney and the 10 provincial premiers, aimed to persuade Quebec to endorse the 1982 constitutional amendments by providing some decentralization of the Canadian federation. The Accord was ultimately rejected, leading to the formation of the Bloc Québécois, a federal political party devoted to Quebec nationalism and the promotion of Quebec sovereignty. Lucien Bouchard, the founder of the Bloc Québécois, served as the 27th Premier of Quebec from 1996 to 2001 and was a central figure in the 1995 Quebec referendum.

The Accord's rejection highlighted the tensions between Quebec and the rest of Canada, with Quebec nationalism asserting that the Québécois people are an independent nation. The Department of Canadian Heritage, responsible for policies and programs regarding the arts, culture, media, communications networks, official languages, status of women, sports, and multiculturalism, played a role in promoting Canadian identity and unity.

Canada, the second-largest country in the world, is a federal parliamentary democracy with a constitutional monarchy. Its capital is Ottawa, and its largest city is Toronto. Montreal, the second-most populous city in Canada, is known for its distinct four-season continental climate and its role as a cultural and economic hub.

The Bloc Québécois, founded by Lucien Bouchard, has been a significant force in Canadian politics, advocating for Quebec's interests and sovereignty. The party has had representation in the House of Commons since its formation in 1993.

In summary, the Meech Lake Accord and the Bloc Québécois represent the ongoing tensions between Quebec and the rest of Canada. The Accord's rejection and the formation of the Bloc Québécois highlight the importance of Quebec nationalism and the need for a balance between decentralization and unity in the Canadian federation. "
46,46,46,In which location did Joe Stydahar pass away?,beckley,"['alabama', 'allegheny', 'beckley', 'cairo', 'california', 'canada', 'central', 'charleston', 'chicago', 'cleveland', 'columbus', 'delaware', 'great lakes', 'home', 'ireland', 'jersey', 'kentucky', 'keyser', 'los angeles', 'march', 'maryland', 'mississippi', 'mississippi river', 'missouri', 'montgomery', 'montgomery , west virginia', 'morgantown', 'most', 'newfoundland', 'north america', 'ohio', 'ontario', 'parish', 'pennsylvania', 'philadelphia', 'pittsburgh', 'port', 'potomac', 'puerto rico', 'roman', 'state college', 'thebes', 'united states of america', 'valley', 'west virginia', 'york']"," The document provides a comprehensive overview of American football, its rules, and its significance in the United States. American football, also known as gridiron, is a popular sport played by two teams of eleven players. The game is played on a rectangular field with goalposts at each end. The offense aims to advance the ball into the opposing team's end zone for a touchdown or kick the ball through the opponent's goalposts for a field goal. The defense, on the other hand, aims to stop the offense's advance and take control of the ball for themselves.

The document also highlights the importance of West Virginia University Institute of Technology, which is transitioning from Montgomery to Beckley, West Virginia. The university is governed by the WVU Board of Governors and is affiliated with West Virginia University.

Furthermore, the document discusses the Super Bowl, the annual championship game of the National Football League (NFL). The Chicago Bears, a professional American football team based in Chicago, Illinois, are mentioned as a notable team in the NFL. The document also provides information about the Cleveland Area Medical Center, a complex of hospitals in Charleston, West Virginia, and the Ohio River, which is the largest tributary of the Mississippi River in the United States.

In addition, the document mentions the Appalachian Mountain Range, which posed a significant barrier to land travel in less technologically advanced eras. The document also discusses the Los Angeles metropolitan area, which is the 18th largest metropolitan area in the world and the second-largest metropolitan area in the United States.

Lastly, the document provides information about the combined statistical area (CSA) concept, which is composed of adjacent metropolitan and micropolitan statistical areas in the United States and Puerto Rico that can demonstrate economic or social linkage. The document also mentions the Los Angeles Rams, a professional American football team based in the Los Angeles metropolitan area, and the Morgantown Personal Rapid Transit system, which is a transportation system in Morgantown, West Virginia. "
